country,year,imports_usd,exports_usd,currency,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate,remittances_usd,gdp_usd,gdp_growth_pct,inflation_pct,current_account_pct_gdp,reserves_usd,trade_balance_usd,total_trade_usd,trade_balance_pct_gdp,remittances_pct_gdp,fx_abs_change_pct,fx_depreciation,median_fx_volatility,fx_high_volatility,trade_openness_pct_gdp,reserves_pct_gdp,external_inflows_pct_gdp
Ghana,2015,14687476669.332,13755564937.275,GHS,258,3.748113178294574,3.2024,3.8138,19.09193105171123,0.9285636030215076,3.2008,4.373,4982442361.78623,49436806230.4839,2.12075933817334,17.1499695007878,-5.7116156025854,5742645886.29529,-931911732.0570011,28443041606.607002,-1.8850565056978992,10.078406640099535,19.09193105171123,1,0.6277633386110552,1,57.534140603662934,11.616134463706999,37.902948689082045
Ghana,2016,12855057026.135,12031925300.375,GHS,259,3.9391814671814673,3.8138,4.2491,11.41381299491322,0.4590886165639061,3.7976,4.261,2979934204.38383,56144179397.8516,3.37346574966936,17.4546347070868,-5.04424020618629,5866729596.16504,-823131725.7600002,24886982326.510002,-1.4661034048197308,5.307645843867939,11.41381299491322,1,0.6277633386110552,0,44.32691437193277,10.44939949089279,26.73805132742446
Ghana,2017,,,GHS,257,4.391152140077821,4.2586,4.5065,5.821161884187287,0.4399366452435134,4.1511,4.6457,3536410000.0,60385409434.8567,8.12889488100956,12.3719215507048,-3.31643027470143,7015187159.64987,,,,5.856398148322653,5.821161884187287,1,0.6277633386110552,0,,11.617354631366371,
Ghana,2018,11880470763.49,17099588399.661,GHS,259,4.674253667953668,4.523,4.8377,6.957771390669909,0.366451794701033,4.4071,4.9022,3520566623.36831,67259353965.6087,6.20007768127284,7.80876516610703,-3.03986602950099,6294851564.02725,5219117636.171,28980059163.151,7.759690405054526,5.234315252520057,6.957771390669909,1,0.6277633386110552,0,43.087031698177164,9.359072296837637,30.6576763041359
Ghana,2019,10439795453.291,16768275189.922,GHS,261,5.317749808429119,4.8643,5.6641,16.44224246037458,0.8847017552464878,4.8539,5.678,4053694728.81048,68352629246.1555,6.5077747939152,7.14364003330857,-2.72699375813964,7563210340.92838,6328479736.6310005,27208070643.213,9.258575429250143,5.930561521213876,16.44224246037458,1,0.6277633386110552,1,39.80544851497913,11.064988171400552,30.46257349332852
Ghana,2020,,,GHS,262,5.730274427480916,5.6601,5.8794,3.874489850002649,0.6277633386110552,5.3008,5.9187,4291956800.55746,70008243859.8666,0.513941670628171,9.88728956269944,-3.04816313374944,7884091538.70727,,,,6.130644855409517,3.874489850002649,1,0.6277633386110552,0,,11.261661633005135,
Ghana,2021,17848192165.582,14823232488.086,GHS,260,5.9117380769230765,5.8954,6.1354,4.070970587237488,0.3881495253429031,5.7369,6.1655,1955950652.58157,79514204730.3979,5.07646643533542,9.9710886750444,-2.8205574143058,9916916899.67781,-3024959677.4960003,32671424653.668,-3.8043009896816242,2.4598757658627743,4.070970587237488,1,0.6277633386110552,0,41.0887900651767,12.471880883802163,21.102120303610317
Ghana,2022,17962659788.548,17378757386.89,GHS,258,8.924343410852712,6.1445,9.6555,57.14053218325332,2.1001475310302484,6.1445,14.6806,2128085082.98706,73919003212.1998,3.80484978178042,31.2558951049016,-2.33126484632356,5205457212.278,-583902401.658001,35341417175.438,-0.7899219095011173,2.8789418018502646,57.14053218325332,1,0.6277633386110552,1,47.811003449252624,7.042109587618027,26.389482571726013
Ghana,2023,16394367827.129,16874662286.131,GHS,256,11.58558046875,10.0223,11.9614,19.347854284944567,1.5588359802062184,10.0223,12.8662,2454335867.96485,80547146875.9526,3.14009100080186,38.1069656296501,-0.911884130701339,3623904994.58702,480294459.0020008,33269030113.260002,0.5962898471645219,3.047079832318174,19.347854284944567,1,0.6277633386110552,1,41.30379709724081,4.499110316307106,23.99712330452084
Ghana,2024,17529789635.643,20643931879.07,GHS,259,14.41182277992278,11.9639,14.5909,21.95772281613855,0.5425985554166558,11.9412,16.3546,3027416789.17939,83288585604.0268,5.84746854280382,22.8483281157842,1.91923157284388,4472457558.56406,3114142243.426998,38173721514.713,3.738978421643934,3.6348519634760392,21.95772281613855,1,0.6277633386110552,0,45.833076931093174,5.36983252402335,28.4208796398446
Ghana,2025,20166910856.186,31975161923.111,GHS,258,12.566572480620154,14.5909,10.4701,-28.24226058707824,0.96976228133612,10.2383,15.6824,2422884615.85255,114209905278.717,5.95441714756899,14.2046755548989,8.22096928515243,,11808251066.925,52142072779.297,10.339077891806522,2.1214312453370487,28.24226058707824,0,0.6277633386110552,1,45.65459769189885,,30.118269037189737
Kenya,2015,16058041798.93,5906821405.92,KES,365,98.18906849315069,90.65,102.44,13.006067291781577,0.2077059310168542,90.65,106.03,1569267849.83759,70120446896.8359,4.96772112759767,6.58215429284779,-6.30459656347733,7514864907.05536,-10151220393.01,21964863204.85,-14.47683356602803,2.2379604227941696,13.006067291781577,1,0.1017830190353522,1,31.324476920641438,10.717080736966123,10.661782100100876
Kenya,2016,14113435915.77,5697559391.24,KES,366,101.51360655737706,102.41,102.26,-0.1464700712820899,0.0872042708367982,100.51,102.57,1744639174.70127,74815144163.8931,4.21351706814744,6.29724953814625,-5.3970086381703,7553884912.6237,-8415876524.530001,19810995307.010002,-11.248894349643756,2.3319331857189134,0.1464700712820899,0,0.1017830190353522,0,26.47992666245651,10.096732415666878,9.947449342125287
Kenya,2017,16690197046.812,5747414819.789,KES,365,103.39087671232876,102.32,103.1,0.762314308053158,0.0736243276307857,102.32,104.02,1962273106.47771,82036510877.2599,3.83795817364721,8.00564967709945,-6.99683322084959,7325420063.33911,-10942782227.023,22437611866.600998,-13.338917160183957,2.3919509563413697,0.762314308053158,1,0.1017830190353522,0,27.350763247563453,8.929463217053614,9.397874000031118
Kenya,2018,17376721272.03,6050420682.217,KES,365,101.30635616438356,103.16,101.8,-1.3183404420317957,0.10815452451658,100.05,103.4,2720366061.45974,92202979985.2863,5.64794640709219,4.6898064677633,-5.41106679141752,8164380806.22987,-11326300589.813,23427141954.246998,-12.284093845579008,2.950410129796081,1.3183404420317957,0,0.1017830190353522,1,25.408226456439355,8.854790601705865,9.512476435226256
Kenya,2019,17210001018.47,5836255973.92,KES,365,101.99739726027398,101.8,101.4,-0.3929273084479323,0.1309474406567571,99.64,104.37,2838192215.41576,100378436207.371,5.11415885767801,5.23963795764792,-5.23852935907811,9115806005.21186,-11373745044.550001,23046256992.39,-11.33086494897477,2.8274919620707792,0.3929273084479323,0,0.1017830190353522,1,22.959370421729748,9.081438553574984,8.641744698448269
